goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/stack
BenchmarkRefillTestValueStack/10000-4            	     500	   2870829 ns/op	 1600170 B/op	  100000 allocs/op
BenchmarkRefillTestValueStack/10000-4            	     500	   3057686 ns/op	 1600170 B/op	  100000 allocs/op
BenchmarkRefillTestValueStack/10000-4            	     500	   3069586 ns/op	 1600170 B/op	  100000 allocs/op
BenchmarkRefillTestValueStack/10000-4            	     500	   3257396 ns/op	 1600170 B/op	  100000 allocs/op
BenchmarkRefillTestValueStack/100000-4           	      50	  28140975 ns/op	16016204 B/op	 1000004 allocs/op
BenchmarkRefillTestValueStack/100000-4           	      50	  27267937 ns/op	16016204 B/op	 1000004 allocs/op
BenchmarkRefillTestValueStack/100000-4           	      50	  28578945 ns/op	16016204 B/op	 1000004 allocs/op
BenchmarkRefillTestValueStack/100000-4           	      50	  29942551 ns/op	16016204 B/op	 1000004 allocs/op
BenchmarkRefillTestValueStack/100000-4           	      50	  28020171 ns/op	16016204 B/op	 1000004 allocs/op
BenchmarkRefillTestValueStack/100000-4           	      50	  26897389 ns/op	16016204 B/op	 1000004 allocs/op
BenchmarkRefillTestValueStack/100000-4           	      50	  27764587 ns/op	16016210 B/op	 1000004 allocs/op
BenchmarkRefillTestValueStack/100000-4           	      50	  27625753 ns/op	16016204 B/op	 1000004 allocs/op
BenchmarkRefillTestValueStack/100000-4           	      50	  26407314 ns/op	16016208 B/op	 1000004 allocs/op
BenchmarkRefillTestValueStack/100000-4           	      50	  26183223 ns/op	16016204 B/op	 1000004 allocs/op
BenchmarkRefillTestValueStack/1000000-4          	       3	 368721859 ns/op	162684400 B/op	10000652 allocs/op
BenchmarkRefillTestValueStack/1000000-4          	       3	 384576285 ns/op	162684400 B/op	10000652 allocs/op
BenchmarkRefillTestValueStack/1000000-4          	       3	 355507217 ns/op	162684400 B/op	10000652 allocs/op
BenchmarkRefillTestValueStack/1000000-4          	       3	 382629624 ns/op	162684400 B/op	10000652 allocs/op
BenchmarkRefillTestValueStack/1000000-4          	       5	 386370979 ns/op	161610640 B/op	10000391 allocs/op
BenchmarkRefillTestValueStack/1000000-4          	       3	 384981390 ns/op	162684400 B/op	10000652 allocs/op
BenchmarkRefillTestValueStack/1000000-4          	       3	 407860386 ns/op	162684400 B/op	10000652 allocs/op
BenchmarkRefillTestValueStack/1000000-4          	       3	 365538869 ns/op	162684400 B/op	10000652 allocs/op
BenchmarkRefillTestValueStack/1000000-4          	       3	 425226446 ns/op	162684400 B/op	10000652 allocs/op
BenchmarkRefillTestValueStack/1000000-4          	       3	 409734043 ns/op	162684400 B/op	10000652 allocs/op
BenchmarkRefillFullTestValueStack/0-4            	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillFullTestValueStack/0-4            	100000000	        13.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillFullTestValueStack/0-4            	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillFullTestValueStack/0-4            	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillFullTestValueStack/0-4            	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillFullTestValueStack/0-4            	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillFullTestValueStack/0-4            	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillFullTestValueStack/0-4            	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillFullTestValueStack/0-4            	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillFullTestValueStack/0-4            	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillFullTestValueStack/1-4            	 5000000	       302 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillFullTestValueStack/1-4            	 5000000	       296 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillFullTestValueStack/1-4            	 5000000	       310 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillFullTestValueStack/1-4            	 5000000	       327 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillFullTestValueStack/1-4            	 5000000	       316 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillFullTestValueStack/1-4            	 5000000	       296 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillFullTestValueStack/1-4            	 5000000	       298 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillFullTestValueStack/1-4            	 5000000	       312 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillFullTestValueStack/1-4            	 5000000	       295 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillFullTestValueStack/1-4            	 5000000	       308 ns/op	     160 B/op	      10 allocs/op
